Country,Gvmnt responsibility, Interest politics:High,Never justifiable: Abrtn, Never justifiable: Sex b. marriage,Family: very important,Trust your family ,Daily News Source:Internet,Daily News Source:TV,Wave
Upper Limit,55,45,100,100,100,100,75,100,7.00 
Azerbaijan,18.70,5.70,51.20,76.60,93.90,65.00,14.70,88.70,6.00
Australia,11.50,15.00,15.70,6.00,92.50,81.20,51.80,69.70,6.00
Armenia,42.50,7.50,57.20,68.60,96.90,95.50,22.70,89.80,6.00
China,12.40,10.80,38.80,30.00,85.70,85.50,17.70,68.00,6.00
Taiwan,14.20,0.00,27.90,12.20,90.90,82.80,48.40,86.10,6.00
Georgia,38.20,6.90,68.10,55.60,98.40,91.40,34.00,88.60,6.00
Hong Kong,6.80,5.40,38.00,21.40,85.10,83.60,0.00,0.00,6.00
India,44.50,9.10,76.20,76.90,94.90,91.30,5.20,54.00,6.00
Iraq,27.80,8.30,47.90,0.00,92.90,96.90,21.80,80.80,6.00
Japan,23.40,13.40,11.90,8.20,90.80,72.60,34.80,93.60,6.00
Kazakhstan,31.30,9.00,39.60,28.20,92.40,93.20,24.10,84.70,6.00
Jordan,31.90,7.60,66.00,86.80,95.80,90.80,24.80,73.30,6.00
South Korea,20.10,5.00,36.40,29.20,91.30,82.50,50.20,79.90,6.00
Kuwait,36.10,19.80,57.10,0.00,93.20,85.90,55.10,50.00,6.00
Kyrgyzstan,22.10,23.10,55.30,57.50,96.50,95.50,18.20,82.60,6.00
Lebanon,25.80,14.10,44.70,0.00,75.10,65.20,41.20,56.10,6.00
Libya,43.90,19.50,76.00,81.00,96.90,94.20,39.30,76.90,6.00
Malaysia,7.20,8.10,65.10,59.80,97.70,83.00,27.00,81.30,6.00
New Zealand,6.10,13.80,17.40,9.50,92.90,0.00,49.50,79.90,6.00
Pakistan,19.60,10.20,76.80,76.10,94.00,84.70,2.60,48.40,6.00
Philippines,17.20,19.40,56.60,38.30,98.80,86.00,10.70,84.20,6.00
Qatar,19.00,15.00,76.10,90.90,99.00,91.00,57.50,73.00,6.00
Russia,41.90,4.70,23.60,10.80,85.00,87.10,31.00,82.90,6.00
Singapore,6.40,6.50,24.80,22.90,93.30,81.70,47.50,70.90,6.00
Thailand,19.20,25.00,61.90,41.50,88.60,85.50,19.30,86.60,6.00
Tunisia,44.10,8.80,70.40,0.00,97.60,94.90,32.00,81.00,6.00
Turkey,14.20,8.70,66.10,76.70,95.40,93.70,26.00,83.80,6.00
Egypt,44.10,33.80,0.00,0.00,97.40,99.30,12.80,89.40,6.00
Uzbekistan,29.20,11.30,51.30,70.50,97.50,97.30,6.00,79.30,6.00
Yemen,46.00,9.10,59.60,0.00,95.80,93.80,6.60,51.50,6.00
Australia,9.80,13.70,17.90,0.00,93.70,82.50,47.40,97.40,5.00
China,12.10,28.20,60.80,0.00,78.10,87.90,12.20,76.90,5.00
Taiwan,12.90,2.50,33.90,0.00,91.70,86.60,31.70,89.30,5.00
Georgia,31.60,12.90,49.60,0.00,98.70,91.50,14.90,97.60,5.00
Hong Kong,12.10,2.00,36.10,0.00,55.40,0.00,0.00,0.00,5.00
India,34.10,10.70,49.00,0.00,90.10,85.40,9.20,61.20,5.00
Iraq,32.70,25.00,81.80,0.00,95.90,0.00,0.00,,5.00
Japan,23.50,14.20,13.90,0.00,91.30,0.00,44.30,96.80,5.00
Jordan,46.50,8.10,92.70,0.00,96.80,96.20,16.10,85.90,5.00
South Korea,22.40,3.40,31.60,0.00,92.30,87.20,59.20,93.60,5.00
Malaysia,9.10,3.70,43.00,0.00,96.20,85.40,36.70,91.70,5.00
New Zealand,6.20,12.80,14.70,0.00,93.30,86.00,0.00,0.00,5.00
Russia,42.10,6.70,30.20,0.00,89.00,90.60,18.40,93.60,5.00
Thailand,8.40,19.80,36.60,0.00,86.00,79.80,14.10,90.40,5.00
Turkey,16.60,8.40,61.10,0.00,97.70,95.60,20.90,0.00,5.00
Egypt,36.50,5.50,0.00,0.00,97.70,96.20,8.70,79.70,5.00
China,13.50,24.70,54.50,0.00,60.20,0.00,0.00,0.00,4.00
India,33.70,11.60,58.60,0.00,91.90,0.00,0.00,0.00,4.00
Iraq,27.90,17.20,76.90,0.00,97.30,0.00,0.00,0.00,4.00
Japan,20.70,15.60,13.10,0.00,91.30,0.00,0.00,0.00,4.00
Jordan,28.30,7.20,83.70,0.00,96.60,0.00,0.00,0.00,4.00
South Korea,31.20,8.00,36.80,0.00,89.60,0.00,0.00,0.00,4.00
Kyrgyzstan,30.60,13.00,57.30,0.00,87.20,0.00,0.00,0.00,4.00
Philippines,13.40,12.00,55.10,0.00,98.60,0.00,0.00,0.00,4.00
Turkey,30.80,8.40,0.00,0.00,97.30,0.00,0.00,0.00,4.00
Egypt,18.10,11.90,56.30,0.00,96.40,0.00,0.00,0.00,4.00
Azerbaijan,0.00,8.50,28.00,0.00,84.70,0.00,0.00,0.00,3.00
Australia,0.00,16.30,23.10,0.00,90.20,0.00,0.00,0.00,3.00
Armenia,0.00,14.00,20.80,0.00,86.00,0.00,0.00,0.00,3.00
China,0.00,0.00,29.20,0.00,76.50,0.00,0.00,0.00,3.00
Taiwan,0.00,5.90,45.40,0.00,77.70,0.00,0.00,0.00,3.00
Georgia,0.00,10.10,28.00,0.00,94.60,0.00,0.00,0.00,3.00
India,0.00,9.30,52.10,0.00,90.80,0.00,0.00,0.00,3.00
Japan,0.00,11.60,20.90,0.00,89.80,0.00,0.00,0.00,3.00
South Korea,0.00,9.00,37.10,0.00,90.10,0.00,0.00,0.00,3.00
New Zealand,0.00,13.70,17.20,0.00,92.60,0.00,0.00,0.00,3.00
Pakistan,0.00,0.00,0.00,0.00,80.80,0.00,0.00,0.00,3.00
Philippines,0.00,9.10,57.80,0.00,95.80,0.00,0.00,0.00,3.00
Russia,0.00,9.60,16.40,0.00,83.70,0.00,0.00,0.00,3.00
Turkey,0.00,13.10,0.00,0.00,96.60,0.00,0.00,0.00,3.00
